contactid,title,description,overrideurl,affinity,clustergroup,ogname,ogtexthead,ogtitle1,ogtag1,ogurl1,ogtitle2,ogtag2,ogurl2,ogmoreinfo,ogmoreinfourltitle,ogmoreinfourltag,ogmoreinfourl,telephonename,phonetexthead,phoneopenhours,telephone,telephonename2,phonetexthead2,phoneopenhours2,telephone2,textphone,international,fax,phonemoreinfo,phonemoreinfourltitle,phonemoreinfourltag,phonemoreinfourl,emailtexthead,emailtitle1,emailtag1,emailaddress1,emailurl1,emailtitle2,emailtag2,emailaddress2,emailurl2,emailmoreinfo,emailmoreinfourltitle,emailmoreinfourltag,emailmoreinfourl,postname,posttexthead,posttag1,postaddress1,posttag2,postaddress2,posttag3,postaddress3,postmoreinfo,postmoreinfourltitle,postmoreinfourltag,postmoreinfourl,keywords,alt_meta_title,alt_meta_description,alt_meta_keywords,entrysource,externalid,lastupdated
25,National Insurance enquiries for employees and individuals,"Enquiries relating to National Insurance rates and thresholds, Statutory Payments, etc",,"individuals & employees > Bereavement
individuals & employees > All individuals
individuals & employees > Employed",National Insurance,,,Employee tax and National Insurance,Find out how your salary is taxed and how much you can earn before you start paying tax and National Insurance,http://www.hmrc.gov.uk/working/intro/employed.htm,National Insurance rates and thresholds,"A quick link to previous, current and next year National Insurance rates and thresholds",http://www.hmrc.gov.uk/rates/nic.htm,,,,,National Insurance enquiries,"For enquiries relating to:
- Class 1 National Insurance rates and thresholds
- Statutory Payments
- Age exception certificates (form CA4140)  
- Home Responsibilities Protection criteria / Parents and Carers Credits  
- Married Women's Reduced Rate Election 
- National Insurance statement requests
- Class 3 National Insurance enquiries

The helpline cannot give customers an estimate of their State Pension.  State Pension statements ? find out more about getting a statement by following the State Pension statements link below.","8.00 am to 5.00 pm, Monday to Friday
Closed weekends and bank holidays",0300 200 3500,,,,,0845 915 3296,,,,State Pension statement,,https://www.gov.uk/state-pension-statement,Use the HM Revenue & Customs (HMRC) email service,Tell HMRC about a change of name or address,,,http://www.hmrc.gov.uk/individuals/change-of-circs.htm,,,,,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,Kybg-pFAYcQ,13/06/2013 07:59:54
26,"National insurance enquiries for non-UK residents
Non-UK residents - National Insurance enquiries",Enquiries relating to National Insurance and health care provision for people under State Pension age living abroad,,individuals & employees > All individuals,National Insurance,,,Tax and National Insurance information for non-UK residents,"Find out about tax, National Insurance and how 'residence' and 'domicile' might affect your UK tax",http://www.hmrc.gov.uk/international/personal.htm,,,,,,,,National Insurance Helpline for non-UK residents,"This helpline answers queries regarding National Insurance status entitlements and health care provisions, for people under State Pension age who live or work abroad. 

The helpline cannot provide State Pension statements if you live outside the UK. If you live outside the UK and would like a State Pension statement, call the Future Pension Centre by following the link below.","8.30 am to 5.00 pm, Monday to Friday
Closed weekends and bank holidays",0300 200 3506,,,,,,+44 191 203 7010,,,Future Pension Centre,,https://www.gov.uk/future-pension-centre,Use the HM Revenue & Customs (HMRC) email service,Tell HMRC about a change of name or address,,,http://www.hmrc.gov.uk/individuals/change-of-circs.htm,,,,,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,"National Insurance Contributions Office  
International Caseworker
Longbenton
Newcastle Upon Tyne 
NE98 1ZZ
United Kingdom",,,,,,,,,,,,,enquiry,OLul3tPejl4,13/06/2013 08:05:39
27,"National Insurance enquiries for the self-employed
Self-employed National Insurance enquiries",Information and assistance with National Insurance for self-employed people,,"individuals & employees > Self-employed
individuals & employees > All individuals
businesses & corporations > All businesses",National Insurance,,,Self-employed tax and National Insurance,"Find out how to register with HMRC when you start a business, basic information on Self-Assessment, National Insurance, VAT and record keeping",http://www.hmrc.gov.uk/working/intro/selfemployed.htm,How to pay Class 2 National Insurance,Find out more information on the available options for making self-employed Class 2 National Insurance,http://www.hmrc.gov.uk/payinghmrc/class2nics.htm,,,,,National Insurance Self-Employed Helpline,"For assistance with:
- Class 2 six monthly bill queries
- Class 3 quarterly bill queries
- Direct Debit queries 
- Changes of payment method
- Small Earnings Exception
- Changes in self-employment status including ceasing self-employment

The helpline can't provide you with an Unique Tax reference number. You will find it on any Self Assessment letters or you will need to contact your HMRC Office by following the Contact us link below.","8.30 am to 5.00 pm, Monday to Friday
Closed weekends and bank holidays",0300 200 3505,,,,,0845 915 3296,,,,Contact us,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?ha=34&amp;tx0=49615&amp;fl0=__dsid:&amp;tx1=2037&amp;raction=view,Use the HM Revenue & Customs email service,Tell HMRC about a change of name or address,,,http://www.hmrc.gov.uk/individuals/change-of-circs.htm,Tell HMRC if you've stopped being self-employed,,,http://www.hmrc.gov.uk/dealingwith/changes/close-sell-business.htm,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,ZoK0gKwCs5Q,13/06/2013 08:04:19
28,National Insurance registrations,Advice and assistance to young people who haven't received their National Insurance number. They can also help if you've lost or can't remember your National Insurance number or lost your National Insurance number card.,,"individuals & employees > Self-employed
individuals & employees > All individuals",National Insurance,,,Applying for a National Insurance number,"Find out how to get a National Insurance number, when you'll need one, what to do if you don't receive yours or forget or loose it",http://www.hmrc.gov.uk/ni/intro/number.htm,National Insurance - the basics,"Information on who pays National Insurance, why you pay it and how",http://www.hmrc.gov.uk/ni/intro/basics.htm,,,,,National Insurance Registrations Helpline,"The helpline provides advice to young people aged between 15 years and 9 months and 20 years old who haven't received a National Insurance number.

They can also help if you've lost or can't remember your National Insurance number or lost your National Insurance number card and issue letters of confirmation of National Insurance numbers. 

HMRC no longer issue National Insurance cards.  You don?t need to have a card ? it?s the number that?s important.  If you can?t remember your number, find out what to do by following the link at the top of the page ?Applying for a National Insurance number'.","8.30 am to 5.00 pm, Monday to Friday
Closed weekends and bank holidays",0300 200 3502,,,,,0845 9153296,,,"We cannot allocate National Insurance numbers, arrange appointments with the Department for Work and Pensions to apply for a National Insurance number, or confirm a National Insurance number over the telephone.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,3I1k4cSdFX0,13/06/2013 08:01:35
30,"National minimum wage enquiries and complaints
Minimum wage enquiries
Pay and Work Rights Helpline",For help and advice about the national minimum wage,,"individuals & employees > All individuals
employers > All employers",Tax,,,National minimum wage - guidance for employers,"Find out who's entitled to the minimum wage, rates explained, which payments count towards it and your record keeping",http://www.hmrc.gov.uk/paye/payroll/day-to-day/nmw.htm,National minimum wage - guidance for individuals,"Find out about National minimum wage on GOV.UK website, what the current rates are and where to get help if you are being paid below the minimum wage rate",https://www.gov.uk/your-right-to-minimum-wage,,,,,Pay and Work Rights Helpline,Help and advice for employees and employers on the rules of the National minimum wage. We also deal with complaints from workers who are being paid below the threshold.,"8.00 am to 8.00 pm, Monday to Friday
9.00 am to 1.00 pm Saturday 
Closed Sundays and bank holidays",0800 917 2368,,,,,0800 121 4042,,,,,,,,,,,,,,,,,,,,,,,"National minimum wage enquiries 
Freepost PHQ1
Newcastle Upon Tyne 
NE98 1ZH",,,,,,,,,,,,,enquiry,lZSp3XtWUIo,31/05/2013 14:58:23
31,National statistics enquiries,For national statistics enquiries,http://www.hmrc.gov.uk/stats/update_calendar/enquiry_2.htm,,See also,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,d5XApz4DGGE,31/05/2013 14:58:23
32,"National Yachtline
Yachtline",For information about sailing your yacht or pleasurecraft to and from the UK,,individuals & employees > All individuals,See also,,,Find out if you need to let Customs know of your arrival in the UK,,http://customs.hmrc.gov.uk/channelsPortalWebApp/channelsPortalWebApp.portal?_nfpb=true&_pageLabel=pageVAT_ShowContent&id=HMCE_CL_000289&propertyType=document,,,,,,,,National Yachtline,When arriving in the UK direct from a country outside the EU (the Channel Islands are regarded as outside the EU for this purpose) you must telephone the National Yachtline.,"24 hours a day, seven days a week",0845 723 1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,X7b2_BQXOaQ,31/05/2013 14:58:23
33,"New Computerised Transit System - Online Services Helpdesk
Online Services Helpdesk - New Computerised Transit System",For help and assistance using the New Computerised Transit System,,businesses & corporations > All businesses,See also,,,,,,,,,,,,,Online Services Helpdesk - NCTS (New Computerised Transit System),For help and assistance using the New Computerised Transit System,"8.00 am to 5.00 pm, Monday to Friday
Closed weekends and bank holidays",0300 200 3701,,,,,,,,,,,,,Online Services Helpdesk @,,ncts.helpdesk@hmce.gsi.gov.uk,,,,,,"We cannot guarantee the security of emails you send to us or we send to you over the internet. Information sent by email over the internet is not secure and it is at risk of being intercepted and read by people other than those it was intended for. Any information you send to us by email is at your own risk. If you would like us to reply by email, please confirm in your message that you understand and accept the risks involved. However, if our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,_f5Ld1KldlM,24/06/2013 09:35:29
34,"Employer enquiries - support for new employers
Employer (New) enquiries",To register as a new employer or contractor and for enquiries as a new employer,,"employers > New employers
employers > All employers",Tax,,,New employer - getting started,"Your responsibilities as a new employer, including payroll, payments to HMRC and employment rights.",http://www.hmrc.gov.uk/payerti/getting-started/new-employer.htm,Taking on a new employee - first steps,Checks you must make to ensure new employees are entitled to work in the UK and vital information to get before paying them.,http://www.hmrc.gov.uk/payerti/employee-starting/new-employee.htm,,,,,New Employer Helpline,"Expert advice for new employers on: 
?  PAYE in real time including Statutory Sick Pay, Maternity and Paternity Pay
?  stakeholder pensions, student loan repayments and the Construction Industry Scheme
You need your employer reference number with you when you phone. By choosing the correct numbered option you will speak to the most appropriate adviser more quickly.","8.00 am to 8.00 pm, Monday to Friday
8.00 am to 4.00 pm Saturday
Closed Sundays, Christmas Day, Boxing Day and New Year's Day",0300 200 3211,,,,,0300 200 3212,,0191 225 6677,"Employees seeking advice on their own tax affairs should contact their HMRC Office (as shown on our most recent correspondence to them). If they don't have recent correspondence from us, follow the link below for HMRC contact details for individuals, pensioners and employees.","Income Tax enquiries for individuals, pensioners and employees",,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?raction=view&amp;fl0=__dsid%3A&amp;sm=0&amp;ha=34&amp;as=1&amp;sf=&amp;sp_scope=hmrc&amp;cs=ISO-8859-1&amp;tx0=49612,,,,,,,,,,,,,,,,,,,,,,"Employers can write to HMRC at the following address:

Customer Operations Employer Office
BP4009
Chillingham House
Benton Park View
Newcastle Upon Tyne
NE98 1ZZ",,,,,,,,enquiry,PXkbJ3Oml5Q,31/05/2013 14:58:25
35,"Online Services Helpdesk
Self Assessment - Online Services Helpdesk
Helpdesk for Online Self Assessment","For enquiries with our online service including help with 'error messages' to file Self Assessment tax returns, PAYE for employers, Corporation Tax, stamp taxes, pension schemes or any other online service",,"individuals & employees > Self-employed
individuals & employees > All individuals
businesses & corporations > All businesses
employers > All employers",Tax,,,Online service issues,Check current important HMRC Online service issues we are experiencing - including known error messages,http://customs.hmrc.gov.uk/channelsPortalWebApp/channelsPortalWebApp.portal?_nfpb=true&_pageLabel=pageOnlineServices_ShowContent&propertyType=document&id=HMCE_PROD1_028772,Service availability,Check the current availability of different HMRC Online services - including planned downtime,http://customs.hmrc.gov.uk/channelsPortalWebApp/channelsPortalWebApp.portal?_nfpb=true&_pageLabel=pageOnlineServices_ShowContent&propertyType=document&id=HMCE_MIG_009921,,What do my Basic PAYE Tools error messages mean?,Find out more about Basic PAYE Tools error messages,http://www.hmrc.gov.uk/payerti/troubleshoot/bpt-error-messages.htm,Online Services Helpdesk,"Online Services can help you with the following:   
- if you?re having a problem logging on or registering for an online service
- if you?re having problems submitting forms 
- if you?re receiving error messages in your online account or on HMRC forms   
- if you need technical help to download and use HMRC free software and tools  

Online Services cannot help with the following:
- specific enquiries relating to VAT, Excise duty, Income Tax and other associated taxes   
- provide you with User ID?s, Passwords or Activation PINs over the telephone
- advice on completing tax related questions within online forms
- online VAT services, if you need technical help follow the VAT Online Services Helpdesk link below    

To help us deal with your query, please have your HMRC reference number with you when you call, eg your Unique Taxpayer Reference or PAYE reference number.   

If your query is not technical related, please contact the relevant business area by following the ?Contact us? link on HMRC homepage.","8.00 am to 8.00 pm, Monday to Friday 
8.00 am to 4.00 pm Saturday

Closed Sundays, Christmas Day, Boxing Day and New Year?s Day",0300 200 3600,,,,,0300 200 3603,+44 161 930 8445,,,VAT Online Services Helpdesk,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?ha=34&amp;tx0=49684&amp;fl0=__dsid:&amp;tx1=2037&amp;raction=view,,Email a technical help enquiry to the Online Services Helpdesk,,,http://www.hmrc.gov.uk/contactus/online-services.htm,,,,,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Security Advice,,http://www.hmrc.gov.uk/security/index.htm,,,,,,,,,,,,,,,,,enquiry,xezeYXCCQFU,31/05/2013 14:58:23
37,"Corporation Tax forms ordering
Order Corporation Tax forms
Forms for Corporation Tax","For ordering copies of the Company Tax Return, the guide and supplementary pages",,businesses & corporations > All businesses,Tax,,,Corporation Tax online forms ordering,"For ordering copies of the Company Tax Return, the guide and supplementary pages",http://www.hmrc.gov.uk/contactus/staustellform.htm,,,,,,,,Corporation Tax Forms Orderline,"To order copies of the Company Tax Return, the guide and supplementary pages call the orderline","8.00 am to 8.00 pm, Monday to Friday 
8.00 am to 4.00 pm Saturday 
Closed Sundays, Christmas Day, Boxing Day and New Years Day.",0845 300 6555,,,,,,+44 161 930 8331,0845 300 6777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,9o_jnlp734Q,31/05/2013 14:58:25
38,"Employer stationery and forms ordering
Orderline for employer forms and publications
Forms and publications for employers",For Employers who cannot download forms and publications from the HMRC website,,employers > All employers,Tax,,,"Forms, publications, download area and online ordering service",The majority of forms and publications for employers are available for download from our website and employers are expected to self-serve.,http://www.hmrc.gov.uk/payerti/forms-updates/forms-publications.htm,,,,,,,,Employer Orderline,"If exceptionally you are unable to download from our website please call the Employer Orderline. Please be aware however that the Orderline holds limited stock and the number of copies which can be ordered is restricted. If you cannot download from the internet but can access forms and publications from a disc please tell the Orderline adviser. 

If your order hasn't arrived within seven working days, or you have a query relating to the Orderline, please ring the number below, quoting your order number.   

To avoid unnecessary delay you may want to avoid our busiest times: these are normally between 10.00 am and 12.00 noon on Mondays and at the start of the tax year (6th April).","8.00 am to 6.00 pm, Monday to Friday
Closed Saturday, Sunday, Christmas Day, Boxing Day and New Years Day.",08457 646 646,,,,,0800 95 95 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,E-XoEk1ZrZk,31/05/2013 14:58:23
40,"Self Assessment forms ordering
Order Self Assessment forms
Forms for Self Assessment",If you need to order extra pages for the main tax return,,"individuals & employees > Self-employed
individuals & employees > All individuals
businesses & corporations > All businesses",Tax,,,Online ordering service,"For ordering extra pages of the main tax return, help sheets and leaflets giving more detailed information about particular tax rules",http://www.hmrc.gov.uk/contactus/staustellform.htm,,,,,,,,Self Assessment Orderline,"For ordering extra pages of the main tax return, help sheets and leaflets giving more detailed information about particular tax rules","8.00 am to 8.00 pm, Monday to Friday 
8.00 am to 4.00 pm Saturday 
Closed Sundays, Christmas Day, Boxing Day and New Year's Day",0845 900 0404,,,,,,+44 161 930 8331,0845 900 0604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,vgbDXPRFwl8,31/05/2013 14:58:25
41,"Stamp Duty Land Tax forms ordering
Order Stamp Duty Land Tax forms
Forms for Stamp Duty Land Tax",Order Stamp Duty Land Tax forms and payslips,,businesses & corporations > All businesses,Tax,,,Order forms and payslips online,For ordering Stamp Duty Land Tax forms and payslips,http://www.hmrc.gov.uk/contactus/staustellform.htm,,,,,,,,Stamp Duty Land Tax Orderline,To order Stamp Duty Land Tax forms and payslips call the Orderline,"8.00 am to 8.00 pm, Monday to Friday 
8.00 am to 4.00 pm Saturday 
Closed Sundays, Christmas Day, Boxing Day and New Years Day.",0845 302 1472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,pZE1Z_LnLbY,31/05/2013 14:58:25
42,Pension scheme enquiries,For enquiries from pension scheme administrators and pension providers,,"businesses & corporations > All businesses
businesses & corporations > Pension schemes
employers > All employers",Tax,,,Pension Scheme Services,,http://www.hmrc.gov.uk/pensionschemes/index.htm,,,,Guidance on the tax rules for pension schemes,,,,Pension Schemes Services Helpline,"Enquiries about the tax rules for operating pension schemes.
This helpline can't answer questions or give information about:
- how your individual pension has been taxed or how to reclaim overpaid tax
- State Pension 
- how much pension you have under a particular pension scheme  
- your National Insurance contributions
- a specific pension scheme - including scheme reference numbers - unless you're the pension scheme administrator or the administrator has given Pension Schemes Services written permission to give you information","9.00 am to 5.00 pm, Monday to Friday
Closed weekends and bank holidays",0845 600 2622,,,,,,+44 115 974 1600,,"If your enquiry isn't about how the tax rules operate for pension schemes, see the 'Contacts for pensions' page.",Contacts for pensions,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?sr=0&amp;as=1&amp;cs=ISO-8859-1&amp;sc=hmrc&amp;sm=0&amp;nh=50&amp;ha=34&amp;sb=2&amp;fl1=affinity%3A&amp;op1=1&amp;ty1=0&amp;tx1=2028,,Pension Schemes Services - email enquiries.,,,https://online.hmrc.gov.uk/shortforms/form/PSH_General?dept-name=Pension_Services&sub-dept-name=&location=36&origin=http://www.hmrc.gov.uk,,,,,"This allows you to send a secure enquiry online. Email responses from HM Revenue & Customs (HMRC) aren't secure and won't contain confidential information - if necessary they'll contact you by phone or letter. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,For written enquiries regarding the tax rules for operating pension schemes.,,"Pension Schemes Services
FitzRoy House
Castle Meadow Road
Nottingham
NG2 1BD",,,,,,,,,,,,,enquiry,LYtbvoGmT5k,31/05/2013 14:58:25
43,"Online Services Helpdesk - Pension scheme forms and returns
Pension scheme forms and returns - Online Services Helpdesk",For enquiries with our online service including help with 'error messages' to submit pension scheme forms and returns,,"businesses & corporations > All businesses
businesses & corporations > Pension schemes
employers > All employers",See also,,,,,,,,,,,,,Online Services Helpdesk - pension schemes,If you need help and assistance filing pension scheme forms and returns online please call the Online Services Helpdesk,"8.00 am to 8.00 pm, Monday to Friday 
8.00 am to 4.00 pm Saturday 
Closed Sundays, Christmas Day, Boxing Day and New Year?s Day",0300 200 3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,LrRcoJjaF1I,31/05/2013 14:58:25
44,Press Office,For all Press Office enquiries,http://www.hmrc.gov.uk/press/contact-press.htm,"employers
individuals & employees
businesses & corporations",See also,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,PPyr-A8wDAk,31/05/2013 14:58:23
45,"Probate and Inheritance Tax enquiries
Inheritance Tax and Probate enquiries",Information on Probate and Inheritance Tax following a death,,"individuals & employees > Bereavement
individuals & employees > All individuals",Tax,,,Information about Inheritance Tax,Find out about Inheritance Tax and the probate process,http://www.hmrc.gov.uk/inheritancetax/intro/probate-process.htm,Information about estate valuation,How to value the estate of someone who has died,http://www.hmrc.gov.uk/inheritancetax/how-to-value-estate/index.htm,,,,,Probate and Inheritance Tax Helpline,"Help and advice on Probate and Inheritance Tax following a death. 

They can help you:
- understand your Inheritance Tax responsibilities and the procedures
- confirm the forms you need 
- get paper copies of forms
- complete Inheritance Tax forms 

They can not:
- comment on the Inheritance Tax implications of tax planning queries 
- comment on points of general law 
- confirm a person's residency status 
- advise on the wording of wills","9.00 am to 5.00 pm Monday to Friday
Closed weekends and bank holidays",0845 302 0900,,,,,,+44 115 974 3009,,"For specific enquiries concerning your tax affairs, or those of the deceased, please telephone the relevant HMRC Office.

Call the Deceased Estate Helpline for general advice and information about Income Tax and Capital Gains Tax on the deceased estate.",Deceased Estate Helpline,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?ha=34&amp;tx0=49647&amp;fl0=__dsid:&amp;tx1=2037&amp;raction=view,,,,,,,,,,,,,,For written enquiries regarding Inheritance Tax,,,"HMRC Trusts & Estates
Inheritance Tax, 
Ferrers House, 
Castle Meadow Road
Nottingham
NG2 1BB",,,,,"If you write to us you will need to quote our reference number, or tell us the full name and date of death of the person who has died.

HMRC Inheritance Tax has specialist compliance offices in Edinburgh and Belfast. If your case is being dealt with by one of these offices, they will give you the correct address when they write to you. 

Payments
If you are paying Inheritance Tax by cheque you should send your payments to:

HMRC Banking 
St Mungo's Road 
Cumbernauld 
Glasgow
G70 5WY",,,,,,,,enquiry,Ve4W32E6kds,31/05/2013 14:58:26
46,"Register as a new employer
New employer registration",Send your details by email to register with HM Revenue & Customs as a new employer,,employers > All employers,Tax,,,How and when to register as a new employer,"Find out when you need to register with us, and how to go about doing so ? and when you don?t need to register",http://www.hmrc.gov.uk/paye/intro/register.htm,,,,,,,,,,,,,,,,,,,,,,,Send your details by email to register with HM Revenue & Customs as a new employer,Register as a new employer,,,http://www.hmrc.gov.uk/paye/intro/register-email.htm,,,,,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,oxUth-4vOkw,31/05/2013 14:58:26
47,"Register to receive bank and building society interest without tax taken off
Bank and building society interest - without tax taken off
Claiming back tax deducted from bank and building society interest
Tax back on bank and building society interest
Savings Helpline
Registration Helpline",Check whether you should be receiving gross interest on your savings,,"individuals & employees > Self-employed
individuals & employees > All individuals",Tax,,,Tax on bank and building society accounts,How interest is taxed on your bank and building society accounts and how to get interest paid tax-free if your income is low,http://www.hmrc.gov.uk/taxon/bank.htm,Getting tax-free interest on savings or claiming tax back,How to claim back tax if your income is low and you've paid tax on savings with a bank or building society,http://www.hmrc.gov.uk/taxon/bank.htm,,,,,Savings Helpline,"The Savings Helpline stafff will help you:
?  decide whether you can register your account so interest is paid without tax taken off 
? complete form R85 'Getting your interest without tax taken off'","8.00 am to 8.00 pm, Monday to Friday 
8.00 am to 4.00 pm Saturday",0300 200 3312,The National Claims Office,"If you don't have a tax office, but you think you can claim back some or all of the tax taken off your interest please call the number below.","8.30 am to 5.00 pm, Monday to Friday 
Closed weekends and bank holidays",0300 200 3313,,,,"The helpline numbers are only for enquiries about bank and building society interest. If you want help on any other tax matter, contact  the appropriate office using the link below.",Contact us,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/start.jsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,6h7eEMYuaLY,14/06/2013 07:37:16
48,"Report a benefit thief online
Benefit thief - report online",Report a benefit thief online,,individuals & employees > All individuals,See also,,,,,,,,,,,,,,,,,,,,,,,,,,,,If you suspect someone of benefit fraud please complete this form and send it to us in confidence,Report a benefit thief online form,,,https://secure.dwp.gov.uk/benefitfraud/,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,0ldY9EPh4Kc,31/05/2013 14:58:23
49,"Reporting fraudulent emails
Fraudulent emails
Scam emails
Phishing emails",Tell us if you suspect you have received a fraudulent email that mentions HM Revenue & Customs,,"individuals & employees > All individuals
employers > All employers",See also,,,Information about fraudulent emails,Further information and how to recognise a fraudulent email,http://www.hmrc.gov.uk/security/spoofs.htm,,,,,,,,,,,,,,,,,,,,,,,"If you suspect you have received a fraudulent email please do not follow any links within the email, disclose any personal details or respond to it.",Reporting HMRC related phishing emails,,phishing@hmrc.gsi.gov.uk,,,,,,"We cannot guarantee the security of emails you send to us or we send to you over the internet. Information sent by email over the internet is not secure and it is at risk of being intercepted and read by people other than those it was intended for. Any information you send to us by email is at your own risk. If you would like us to reply by email, please confirm in your message that you understand and accept the risks involved. However, if our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,ocyTi4b2x8k,31/05/2013 14:58:24
51,Seafarers' - tax enquiries,"Tax enquiries relating to salary and income from customers working on a boat, ship, or cruiseliner",,individuals & employees > All individuals,Tax,,,,,,,,,,,,,Seafarers' Helpline,"If you are working on a boat, ship or cruiseliner and have any general tax queries relating to salary and Income Tax please call the Seafarers' Helpline - this helpline is part of the Taxes Helpline","8.00 am to 8.00 pm, Monday to Friday  
8.00 am to 4.00 pm Saturday 
Closed Sunday and bank holidays",0300 200 3300,,,,,,,,,,,,,Seafarers' email enquiries,,,https://online.hmrc.gov.uk/shortforms/form/SWA_Seafarers_SEF?dept-name=cnr&sub-dept-name=&location=26&origin=http://www.hmrc.gov.uk,,,,,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,o8ujznqmEBI,24/06/2013 09:22:46
